Customer ID,Age,Gender,Location,Season,Subscription Status,Frequency of Purchases
1,55,Male,Kentucky,Winter,Yes,Fortnightly
2,19,Male,Maine,Winter,Yes,Fortnightly
3,50,Male,Massachusetts,Spring,Yes,Weekly
4,21,Male,Rhode Island,Spring,Yes,Weekly
5,45,Male,Oregon,Spring,Yes,Annually
6,46,Male,Wyoming,Summer,Yes,Weekly
7,63,Male,Montana,Fall,Yes,Quarterly
8,27,Male,Louisiana,Winter,Yes,Weekly
9,26,Male,West Virginia,Summer,Yes,Annually
10,57,Male,Missouri,Spring,Yes,Quarterly
11,53,Male,Arkansas,Fall,Yes,Bi-Weekly
12,30,Male,Hawaii,Winter,Yes,Fortnightly
13,61,Male,Delaware,Winter,Yes,Fortnightly
14,65,Male,New Hampshire,Spring,Yes,Weekly
15,64,Male,New York,Winter,Yes,Weekly
16,64,Male,Rhode Island,Winter,Yes,Monthly
17,25,Male,Alabama,Spring,Yes,Bi-Weekly
18,53,Male,Mississippi,Winter,Yes,Quarterly
19,52,Male,Montana,Summer,Yes,Weekly
20,66,Male,Rhode Island,Summer,Yes,Bi-Weekly
21,21,Male,Louisiana,Winter,Yes,Every 3 Months
22,31,Male,North Carolina,Winter,Yes,Quarterly
23,56,Male,California,Summer,Yes,Annually
24,31,Male,Oklahoma,Winter,Yes,Weekly
25,18,Male,Florida,Fall,Yes,Weekly
26,18,Male,Texas,Summer,Yes,Annually
27,38,Male,Nevada,Spring,Yes,Annually
28,56,Male,Kentucky,Summer,Yes,Every 3 Months
29,54,Male,North Carolina,Fall,Yes,Every 3 Months
30,31,Male,Wyoming,Fall,Yes,Weekly
31,57,Male,North Carolina,Winter,Yes,Monthly
32,33,Male,West Virginia,Winter,Yes,Monthly
33,36,Male,Kansas,Summer,Yes,Annually
34,54,Male,Colorado,Summer,Yes,Quarterly
35,36,Male,North Dakota,Spring,Yes,Quarterly
36,54,Male,Massachusetts,Summer,Yes,Bi-Weekly
37,35,Male,Illinois,Winter,Yes,Fortnightly
38,35,Male,Indiana,Summer,Yes,Weekly
39,29,Male,Florida,Winter,Yes,Every 3 Months
40,70,Male,Arizona,Summer,Yes,Monthly
41,69,Male,Louisiana,Winter,Yes,Quarterly
42,67,Male,Alaska,Spring,Yes,Annually
43,20,Male,Tennessee,Spring,Yes,Annually
44,25,Male,Ohio,Fall,Yes,Fortnightly
45,39,Male,Kentucky,Summer,Yes,Weekly
46,50,Male,Tennessee,Fall,Yes,Annually
47,57,Male,California,Summer,Yes,Quarterly
48,55,Male,Montana,Winter,Yes,Weekly
49,42,Male,Nevada,Summer,Yes,Monthly
50,68,Male,New Jersey,Spring,Yes,Bi-Weekly
51,49,Male,Maryland,Spring,Yes,Bi-Weekly
52,59,Male,Vermont,Winter,Yes,Quarterly
53,42,Male,Alaska,Summer,Yes,Weekly
54,29,Male,Mississippi,Winter,Yes,Weekly
55,47,Male,New Mexico,Summer,Yes,Bi-Weekly
56,40,Male,South Carolina,Winter,Yes,Annually
57,41,Male,Mississippi,Summer,Yes,Weekly
58,21,Male,West Virginia,Summer,Yes,Fortnightly
59,69,Male,Missouri,Summer,Yes,Monthly
60,63,Male,Louisiana,Spring,Yes,Weekly
61,50,Male,Idaho,Summer,Yes,Weekly
62,55,Male,Texas,Winter,Yes,Every 3 Months
63,30,Male,Mississippi,Spring,Yes,Fortnightly
64,33,Male,Arizona,Winter,Yes,Weekly
65,65,Male,Alabama,Fall,Yes,Fortnightly
66,65,Male,New Jersey,Spring,Yes,Every 3 Months
67,31,Male,Pennsylvania,Winter,Yes,Every 3 Months
68,45,Male,Connecticut,Winter,Yes,Monthly
69,57,Male,Utah,Summer,Yes,Every 3 Months
70,48,Male,Tennessee,Summer,Yes,Weekly
71,22,Male,Alabama,Fall,Yes,Every 3 Months
72,36,Male,Virginia,Summer,Yes,Annually
73,18,Male,Georgia,Winter,Yes,Every 3 Months
74,48,Male,Hawaii,Spring,Yes,Bi-Weekly
75,49,Male,Indiana,Spring,Yes,Monthly
76,64,Male,Utah,Summer,Yes,Annually
77,50,Male,Delaware,Summer,Yes,Monthly
78,22,Male,Delaware,Summer,Yes,Fortnightly
79,50,Male,Nebraska,Spring,Yes,Fortnightly
80,38,Male,Iowa,Winter,Yes,Every 3 Months
81,19,Male,New York,Summer,Yes,Every 3 Months
82,67,Male,Virginia,Summer,Yes,Every 3 Months
83,19,Male,Georgia,Spring,Yes,Every 3 Months
84,36,Male,Texas,Summer,Yes,Weekly
85,52,Male,Arizona,Spring,Yes,Every 3 Months
86,53,Male,New Mexico,Winter,Yes,Bi-Weekly
87,24,Male,Nevada,Spring,Yes,Bi-Weekly
88,52,Male,Ohio,Fall,Yes,Fortnightly
89,33,Male,Wyoming,Fall,Yes,Monthly
90,47,Male,California,Fall,Yes,Quarterly
91,25,Male,South Carolina,Summer,Yes,Monthly
92,44,Male,South Carolina,Winter,Yes,Every 3 Months
93,61,Male,Texas,Winter,Yes,Every 3 Months
94,37,Male,Florida,Fall,Yes,Weekly
95,58,Male,Nevada,Spring,Yes,Weekly
96,37,Male,Missouri,Fall,Yes,Monthly
97,32,Male,Delaware,Spring,Yes,Every 3 Months
98,21,Male,Virginia,Winter,Yes,Annually
99,20,Male,New York,Spring,Yes,Annually
100,26,Male,Missouri,Summer,Yes,Quarterly
101,62,Male,South Dakota,Fall,Yes,Fortnightly
102,27,Male,North Dakota,Spring,Yes,Bi-Weekly
103,51,Male,Oklahoma,Winter,Yes,Quarterly
104,54,Male,West Virginia,Winter,Yes,Bi-Weekly
105,55,Male,New Hampshire,Spring,Yes,Monthly
106,69,Male,New York,Fall,Yes,Annually
107,64,Male,Minnesota,Summer,Yes,Monthly
108,28,Male,Maryland,Winter,Yes,Fortnightly
109,70,Male,Montana,Spring,Yes,Bi-Weekly
110,58,Male,Alabama,Spring,Yes,Fortnightly
111,56,Male,New York,Summer,Yes,Fortnightly
112,26,Male,Massachusetts,Summer,Yes,Annually
113,37,Male,Florida,Spring,Yes,Bi-Weekly
114,44,Male,New Jersey,Winter,Yes,Quarterly
115,70,Male,Massachusetts,Summer,Yes,Weekly
116,53,Male,Wyoming,Spring,Yes,Every 3 Months
117,55,Male,Virginia,Spring,Yes,Annually
118,50,Male,South Dakota,Summer,Yes,Fortnightly
119,50,Male,Kentucky,Fall,Yes,Bi-Weekly
120,38,Male,Wyoming,Fall,Yes,Annually
121,64,Male,West Virginia,Summer,Yes,Annually
122,19,Male,Virginia,Winter,Yes,Fortnightly
123,40,Male,Washington,Spring,Yes,Fortnightly
124,57,Male,Louisiana,Fall,Yes,Weekly
125,44,Male,Nevada,Spring,Yes,Annually
126,49,Male,California,Winter,Yes,Every 3 Months
127,43,Male,Mississippi,Spring,Yes,Every 3 Months
128,24,Male,Mississippi,Winter,Yes,Weekly
129,20,Male,California,Spring,Yes,Fortnightly
130,24,Male,Pennsylvania,Summer,Yes,Bi-Weekly
131,44,Male,Kentucky,Fall,Yes,Fortnightly
132,28,Male,Maine,Summer,Yes,Weekly
133,30,Male,New Mexico,Fall,Yes,Weekly
134,52,Male,Montana,Winter,Yes,Annually
135,43,Male,Texas,Fall,Yes,Monthly
136,43,Male,Kansas,Fall,Yes,Quarterly
137,39,Male,South Carolina,Winter,Yes,Quarterly
138,68,Male,Colorado,Spring,Yes,Weekly
139,68,Male,Georgia,Winter,Yes,Weekly
140,49,Male,Florida,Fall,Yes,Annually
141,63,Male,North Carolina,Fall,Yes,Weekly
142,56,Male,Virginia,Fall,Yes,Weekly
143,37,Male,Nebraska,Fall,Yes,Fortnightly
144,30,Male,Missouri,Fall,Yes,Quarterly
145,19,Male,New Jersey,Fall,Yes,Monthly
146,24,Male,Missouri,Fall,Yes,Quarterly
147,52,Male,Colorado,Fall,Yes,Fortnightly
148,63,Male,Idaho,Summer,Yes,Fortnightly
149,37,Male,Wyoming,Fall,Yes,Annually
150,38,Male,Delaware,Summer,Yes,Monthly
151,35,Male,California,Fall,Yes,Every 3 Months
152,28,Male,North Dakota,Fall,Yes,Annually
153,30,Male,South Carolina,Summer,Yes,Annually
154,69,Male,North Carolina,Winter,Yes,Annually
155,41,Male,Oklahoma,Fall,Yes,Quarterly
156,63,Male,Maine,Spring,Yes,Quarterly
157,35,Male,Missouri,Fall,Yes,Annually
158,36,Male,Vermont,Fall,Yes,Fortnightly
159,25,Male,Connecticut,Fall,Yes,Monthly
160,58,Male,New Hampshire,Fall,Yes,Every 3 Months
161,27,Male,Texas,Summer,Yes,Monthly
162,65,Male,North Dakota,Fall,Yes,Fortnightly
163,54,Male,California,Summer,Yes,Bi-Weekly
164,54,Male,Virginia,Summer,Yes,Weekly
165,59,Male,Delaware,Spring,Yes,Fortnightly
166,42,Male,Kentucky,Winter,Yes,Monthly
167,46,Male,Delaware,Fall,Yes,Monthly
168,33,Male,Arkansas,Fall,Yes,Every 3 Months
169,34,Male,Louisiana,Summer,Yes,Fortnightly
170,27,Male,Nevada,Summer,Yes,Every 3 Months
171,52,Male,Wyoming,Fall,Yes,Bi-Weekly
172,29,Male,Virginia,Summer,Yes,Weekly
173,54,Male,Nebraska,Summer,Yes,Bi-Weekly
174,25,Male,Hawaii,Fall,Yes,Annually
175,41,Male,Vermont,Winter,Yes,Annually
176,53,Male,Oklahoma,Fall,Yes,Annually
177,53,Male,New Hampshire,Spring,Yes,Quarterly
178,21,Male,Kansas,Fall,Yes,Monthly
179,61,Male,Idaho,Fall,Yes,Quarterly
180,64,Male,Illinois,Fall,Yes,Fortnightly
181,51,Male,South Dakota,Fall,Yes,Fortnightly
182,32,Male,Massachusetts,Summer,Yes,Weekly
183,38,Male,Alabama,Summer,Yes,Annually
184,58,Male,Ohio,Spring,Yes,Weekly
185,32,Male,Hawaii,Spring,Yes,Fortnightly
186,46,Male,Wisconsin,Summer,Yes,Fortnightly
187,39,Male,Minnesota,Summer,Yes,Annually
188,19,Male,Georgia,Spring,Yes,Bi-Weekly
189,50,Male,Arkansas,Spring,Yes,Bi-Weekly
190,36,Male,West Virginia,Fall,Yes,Weekly
191,65,Male,Indiana,Fall,Yes,Quarterly
192,64,Male,Utah,Fall,Yes,Every 3 Months
193,46,Male,Nebraska,Summer,Yes,Bi-Weekly
