Customer ID,Item Purchased,Category,Purchase Amount (USD),Size,Color,Review Rating,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method
1,Blouse,Clothing,53,L,Gray,3.1,Express,Yes,Yes,14,Venmo
2,Sweater,Clothing,64,L,Maroon,3.1,Express,Yes,Yes,2,Cash
3,Jeans,Clothing,73,S,Maroon,3.1,Free Shipping,Yes,Yes,23,Credit Card
4,Sandals,Footwear,90,M,Maroon,3.5,Next Day Air,Yes,Yes,49,PayPal
5,Blouse,Clothing,49,M,Turquoise,2.7,Free Shipping,Yes,Yes,31,PayPal
6,Sneakers,Footwear,20,M,White,2.9,Standard,Yes,Yes,14,Venmo
7,Shirt,Clothing,85,M,Gray,3.2,Free Shipping,Yes,Yes,49,Cash
8,Shorts,Clothing,34,L,Charcoal,3.2,Free Shipping,Yes,Yes,19,Credit Card
9,Coat,Outerwear,97,L,Silver,2.6,Express,Yes,Yes,8,Venmo
10,Handbag,Accessories,31,M,Pink,4.8,2-Day Shipping,Yes,Yes,4,Cash
11,Shoes,Footwear,34,L,Purple,4.1,Store Pickup,Yes,Yes,26,Bank Transfer
12,Shorts,Clothing,68,S,Olive,4.9,Store Pickup,Yes,Yes,10,Bank Transfer
13,Coat,Outerwear,72,M,Gold,4.5,Express,Yes,Yes,37,Venmo
14,Dress,Clothing,51,M,Violet,4.7,Express,Yes,Yes,31,PayPal
15,Coat,Outerwear,53,L,Teal,4.7,Free Shipping,Yes,Yes,34,Debit Card
16,Skirt,Clothing,81,M,Teal,2.8,Store Pickup,Yes,Yes,8,PayPal
17,Sunglasses,Accessories,36,S,Gray,4.1,Next Day Air,Yes,Yes,44,Debit Card
18,Dress,Clothing,38,XL,Lavender,4.7,2-Day Shipping,Yes,Yes,36,Venmo
19,Sweater,Clothing,48,S,Black,4.6,Free Shipping,Yes,Yes,17,Cash
20,Pants,Clothing,90,M,Green,3.3,Standard,Yes,Yes,46,Debit Card
21,Pants,Clothing,51,M,Black,2.8,Express,Yes,Yes,50,Cash
22,Pants,Clothing,62,M,Charcoal,4.1,Store Pickup,Yes,Yes,22,Debit Card
23,Pants,Clothing,37,M,Peach,3.2,Store Pickup,Yes,Yes,32,Debit Card
24,Pants,Clothing,88,XL,White,4.4,Express,Yes,Yes,40,Credit Card
25,Jacket,Outerwear,22,M,Green,2.9,Store Pickup,Yes,Yes,16,Debit Card
26,Hoodie,Clothing,25,M,Silver,3.6,Express,Yes,Yes,14,PayPal
27,Jewelry,Accessories,20,M,Red,3.6,Next Day Air,Yes,Yes,13,Credit Card
28,Shorts,Clothing,56,L,Cyan,5,Next Day Air,Yes,Yes,7,Bank Transfer
29,Handbag,Accessories,94,M,Gray,4.4,Free Shipping,Yes,Yes,41,PayPal
30,Dress,Clothing,48,S,Black,4.1,Store Pickup,Yes,Yes,14,Credit Card
31,Jewelry,Accessories,31,L,Black,4.7,Standard,Yes,Yes,16,Credit Card
32,Dress,Clothing,79,L,Brown,4.7,Store Pickup,Yes,Yes,45,Venmo
33,Jacket,Outerwear,67,M,Silver,4.9,Free Shipping,Yes,Yes,37,Venmo
34,Pants,Clothing,38,L,Green,3.3,Store Pickup,Yes,Yes,45,Cash
35,T-shirt,Clothing,91,L,Violet,4.6,2-Day Shipping,Yes,Yes,38,PayPal
36,Blouse,Clothing,33,M,Cyan,4,2-Day Shipping,Yes,Yes,48,Credit Card
37,T-shirt,Clothing,69,M,Maroon,4.6,Free Shipping,Yes,Yes,44,PayPal
38,Jeans,Clothing,45,S,Cyan,2.8,Store Pickup,Yes,Yes,10,PayPal
39,Dress,Clothing,37,M,Red,3.7,2-Day Shipping,Yes,Yes,44,Venmo
40,Pants,Clothing,60,S,Turquoise,4.2,Express,Yes,Yes,18,Credit Card
41,Handbag,Accessories,76,L,Beige,4.6,Next Day Air,Yes,Yes,31,Debit Card
42,Scarf,Accessories,39,M,Orange,4.5,Standard,Yes,Yes,40,Venmo
43,Coat,Outerwear,100,M,Beige,4.1,Free Shipping,Yes,Yes,15,PayPal
44,Scarf,Accessories,69,L,Lavender,3.7,Store Pickup,Yes,Yes,19,PayPal
45,Hat,Accessories,53,S,Silver,4.6,Free Shipping,Yes,Yes,45,PayPal
46,Socks,Clothing,21,XL,Indigo,2.9,2-Day Shipping,Yes,Yes,25,PayPal
47,Shirt,Clothing,43,L,White,2.9,Store Pickup,Yes,Yes,45,Cash
48,Jewelry,Accessories,54,M,Charcoal,4.5,Free Shipping,Yes,Yes,36,Cash
49,Shirt,Clothing,55,M,Orange,2.7,Store Pickup,Yes,Yes,38,Cash
50,Hoodie,Clothing,30,S,Indigo,4.6,Next Day Air,Yes,Yes,34,Debit Card
51,Blouse,Clothing,28,M,Red,3.7,Store Pickup,Yes,Yes,39,Debit Card
52,Skirt,Clothing,59,XL,Gray,4.7,2-Day Shipping,Yes,Yes,7,Credit Card
53,T-shirt,Clothing,20,M,Green,2.6,Free Shipping,Yes,Yes,26,Credit Card
54,Skirt,Clothing,24,S,Peach,3.9,Next Day Air,Yes,Yes,35,Credit Card
55,Coat,Outerwear,94,M,Brown,4.2,Next Day Air,Yes,Yes,35,Debit Card
56,Jacket,Outerwear,28,M,Lavender,3,2-Day Shipping,Yes,Yes,49,Credit Card
57,Backpack,Accessories,73,XL,Brown,4.7,Store Pickup,Yes,Yes,46,Credit Card
58,Coat,Outerwear,64,M,White,4.4,Store Pickup,Yes,Yes,17,Debit Card
59,Hoodie,Clothing,54,M,Charcoal,4.2,Free Shipping,Yes,Yes,29,Venmo
60,Belt,Accessories,79,L,Yellow,4.6,Standard,Yes,Yes,4,Debit Card
61,Sweater,Clothing,37,L,Brown,4,Express,Yes,Yes,17,Cash
62,Scarf,Accessories,68,M,Orange,4.7,Store Pickup,Yes,Yes,21,Credit Card
63,Sneakers,Footwear,21,S,Magenta,3.8,Free Shipping,Yes,Yes,31,Credit Card
64,Sunglasses,Accessories,79,L,Lavender,2.7,2-Day Shipping,Yes,Yes,43,Credit Card
65,Boots,Footwear,83,S,Green,4.8,Standard,Yes,Yes,18,Debit Card
66,Backpack,Accessories,36,M,Purple,4.8,2-Day Shipping,Yes,Yes,44,Venmo
67,Blouse,Clothing,94,S,Magenta,4.7,2-Day Shipping,Yes,Yes,3,Venmo
68,Coat,Outerwear,33,L,Gray,4.4,Store Pickup,Yes,Yes,49,Debit Card
69,Handbag,Accessories,46,L,Silver,3.9,Next Day Air,Yes,Yes,21,Cash
70,Belt,Accessories,70,S,Cyan,4.4,Express,Yes,Yes,5,Cash
71,Belt,Accessories,29,M,Magenta,4.2,Express,Yes,Yes,32,Debit Card
72,Dress,Clothing,48,L,Gold,2.9,Express,Yes,Yes,34,Bank Transfer
